Case ID,Case Type,Parties Involved,Case Title,Filing Date,Case Status,Case Location,Hearing 1 date,Hearing 2 date,Hearing 3 date,Assigned Judge,Case Type Priority,Case Age,Scheduled Hearings,Overall Priority
1358,Terrorism,Holly,Terrorism Case - Holly,2023-11-12,Closed,Detroit,2024-08-07,,,Joshua Banks,1,0.015068493150684932,0.0,1.015068493150685
894,Terrorism,Shawn,Terrorism Case - Shawn,2023-10-31,Closed,Louisville,2023-12-17,,,John Smith,1,0.031506849315068496,0.0,1.0315068493150685
573,Terrorism,Donald,Terrorism Case - Donald,2023-10-16,Closed,San Jose,2024-06-03,,,Donald Oliver,1,0.052054794520547946,0.0,1.0520547945205478
1412,Terrorism,Katherine,Terrorism Case - Katherine,2023-10-08,Closed,Los Angeles,2023-11-16,,,Joel Robertson Jr.,1,0.06301369863013699,0.0,1.063013698630137
1796,Terrorism,Dawn,Terrorism Case - Dawn,2023-09-13,Closed,Philadelphia,2023-10-12,,,Anthony Guerra,1,0.09726027397260274,0.0,1.0972602739726027
1033,Terrorism,Heather,Terrorism Case - Heather,2023-08-19,Closed,Dallas,2024-07-10,,,Craig Edwards,1,0.13150684931506848,0.0,1.1315068493150684
622,Terrorism,Dustin,Terrorism Case - Dustin,2023-08-13,Closed,Memphis,2024-01-28,,,Donald Maxwell,1,0.13972602739726028,0.0,1.1397260273972603
1647,Terrorism,Stacey,Terrorism Case - Stacey,2023-08-12,Closed,Dallas,2024-04-09,,,Jeremy Smith,1,0.1410958904109589,0.0,1.141095890410959
344,Terrorism,Maria,Terrorism Case - Maria,2023-08-01,Closed,Charlotte,2024-05-28,,,Kelly Lawson,1,0.15616438356164383,0.0,1.1561643835616437
717,Terrorism,Kathryn,Terrorism Case - Kathryn,2023-07-26,Closed,New York,2023-10-15,,,Elizabeth Livingston,1,0.1643835616438356,0.0,1.1643835616438356
1156,Terrorism,Kimberly,Terrorism Case - Kimberly,2023-07-18,Closed,San Jose,2023-08-21,,,Jennifer Mcgrath,1,0.17534246575342466,0.0,1.1753424657534246
417,Terrorism,James,Terrorism Case - James,2023-07-14,Closed,Los Angeles,2024-01-25,,,Jeffery Hamilton,1,0.18082191780821918,0.0,1.180821917808219
1480,Terrorism,April,Terrorism Case - April,2023-07-14,Closed,Houston,2024-06-15,,,Sheila Mora,1,0.18082191780821918,0.0,1.180821917808219
530,Terrorism,Thomas,Terrorism Case - Thomas,2023-06-25,Closed,Denver,2024-03-14,,,Dylan Serrano,1,0.20684931506849316,0.0,1.2068493150684931
609,Terrorism,Mark,Terrorism Case - Mark,2023-05-29,Closed,Seattle,2023-07-01,,,Alicia Hall,1,0.24383561643835616,0.0,1.2438356164383562
1405,Terrorism,Michael,Terrorism Case - Michael,2023-04-10,Closed,Indianapolis,2023-08-01,,,Megan Vasquez,1,0.31095890410958904,0.0,1.310958904109589
1701,Terrorism,Paul,Terrorism Case - Paul,2023-03-28,Closed,Boston,2024-05-03,,,Amanda Roberts,1,0.3287671232876712,0.0,1.3287671232876712
940,Terrorism,Brianna,Terrorism Case - Brianna,2023-03-25,Closed,New York,2023-09-23,,,Dr. Angel Jensen,1,0.33287671232876714,0.0,1.3328767123287673
1152,Terrorism,Kenneth,Terrorism Case - Kenneth,2023-03-17,Closed,Dallas,2024-11-03,,,Levi Hancock,1,0.34383561643835614,0.0,1.3438356164383563
1112,Terrorism,Benjamin,Terrorism Case - Benjamin,2023-03-14,Closed,Oklahoma City,2023-06-04,,,Steven Green,1,0.34794520547945207,0.0,1.347945205479452
1339,Terrorism,Vincent,Terrorism Case - Vincent,2023-03-11,Closed,Chicago,2024-11-05,,,Jocelyn Soto,1,0.35205479452054794,0.0,1.3520547945205479
968,Terrorism,Erin,Terrorism Case - Erin,2023-03-09,Closed,Portland,2024-02-19,,,Andrew Dawson,1,0.3547945205479452,0.0,1.3547945205479452
1420,Terrorism,David,Terrorism Case - David,2023-03-07,Closed,Denver,2024-04-14,,,Richard Abbott,1,0.35753424657534244,0.0,1.3575342465753424
66,Terrorism,Heather,Terrorism Case - Heather,2023-03-06,Closed,Oklahoma City,2024-05-26,,,Amy Crawford,1,0.3589041095890411,0.0,1.358904109589041
1999,Terrorism,James,Terrorism Case - James,2023-02-24,Closed,Indianapolis,2023-04-13,,,Manuel Carr,1,0.3726027397260274,0.0,1.3726027397260274
1247,Terrorism,Dawn,Terrorism Case - Dawn,2023-02-20,Closed,San Jose,2024-10-07,,,Grant Cooley,1,0.3780821917808219,0.0,1.378082191780822
914,Terrorism,Bruce,Terrorism Case - Bruce,2023-01-26,Closed,Seattle,2023-11-15,,,Dawn Yu,1,0.4123287671232877,0.0,1.4123287671232876
343,Terrorism,William,Terrorism Case - William,2023-01-17,Closed,Memphis,2024-09-28,,,Kim Miller,1,0.4246575342465753,0.0,1.4246575342465753
763,Terrorism,Frances,Terrorism Case - Frances,2022-12-12,Closed,Portland,2023-08-13,,,Jason Daniel,1,0.473972602739726,0.0,1.473972602739726
1484,Terrorism,Chad,Terrorism Case - Chad,2022-12-08,Closed,Austin,2024-04-24,,,Andrew Dawson,1,0.4794520547945205,0.0,1.4794520547945205
1058,Terrorism,Natalie,Terrorism Case - Natalie,2022-11-23,Closed,Detroit,2024-05-07,,,Katie Becker,1,0.5,0.0,1.5
531,Terrorism,Toni,Terrorism Case - Toni,2022-11-20,Closed,Baltimore,2023-08-23,,,Alexandra Fox,1,0.5041095890410959,0.0,1.504109589041096
188,Terrorism,Danielle,Terrorism Case - Danielle,2023-11-18,Closed,Austin,2023-12-20,2024-05-13,,Lindsay Perez,1,0.00684931506849315,0.5,1.5068493150684932
740,Terrorism,Diane,Terrorism Case - Diane,2022-11-17,Closed,Memphis,2023-06-16,,,Charles Brooks,1,0.5082191780821917,0.0,1.5082191780821916
927,Terrorism,Michelle,Terrorism Case - Michelle,2022-11-11,Closed,San Antonio,2023-11-26,,,Kirsten Meadows,1,0.5164383561643836,0.0,1.5164383561643837
424,Terrorism,Joshua,Terrorism Case - Joshua,2022-10-23,Closed,Indianapolis,2024-06-29,,,Steven Green,1,0.5424657534246575,0.0,1.5424657534246575
1869,Terrorism,Chelsea,Terrorism Case - Chelsea,2022-10-14,Closed,Indianapolis,2024-07-17,,,Brianna Barr,1,0.5547945205479452,0.0,1.5547945205479452
1145,Terrorism,Drew,Terrorism Case - Drew,2022-09-24,Closed,Denver,2022-12-05,,,Danielle Hubbard,1,0.5821917808219178,0.0,1.5821917808219177
1326,Terrorism,Alexander,Terrorism Case - Alexander,2023-08-08,Closed,Charlotte,2023-08-30,2024-06-24,,Debra White,1,0.14657534246575343,0.5,1.6465753424657534
1687,Terrorism,Sherry,Terrorism Case - Sherry,2023-07-28,Closed,San Antonio,2024-02-03,2024-06-13,,Sara Medina,1,0.16164383561643836,0.5,1.6616438356164385
514,Terrorism,Rebecca,Terrorism Case - Rebecca,2022-07-20,Closed,Detroit,2022-11-07,,,Joanna Frazier,1,0.6726027397260274,0.0,1.6726027397260275
1131,Terrorism,Wendy,Terrorism Case - Wendy,2023-06-18,Closed,Memphis,2024-05-14,2024-10-08,,Nathan Levine,1,0.21643835616438356,0.5,1.7164383561643834
250,Terrorism,Janice,Terrorism Case - Janice,2022-06-05,Closed,Charlotte,2024-01-06,,,Angel Buchanan,1,0.7342465753424657,0.0,1.7342465753424658
674,Terrorism,Amy,Terrorism Case - Amy,2022-05-21,Closed,Detroit,2022-11-06,,,Mario Barton,1,0.7547945205479452,0.0,1.7547945205479452
1334,Terrorism,Paul,Terrorism Case - Paul,2022-05-19,Closed,Las Vegas,2022-09-09,,,Sarah Wyatt,1,0.7575342465753425,0.0,1.7575342465753425
1998,Terrorism,Jennifer,Terrorism Case - Jennifer,2022-05-03,Closed,Oklahoma City,2023-09-30,,,Morgan Gonzalez DVM,1,0.7794520547945205,0.0,1.7794520547945205
19,Terrorism,David,Terrorism Case - David,2022-04-15,Closed,Los Angeles,2022-06-25,,,Timothy Schwartz,1,0.8041095890410959,0.0,1.8041095890410959
1415,Terrorism,Jack,Terrorism Case - Jack,2022-04-10,Closed,Philadelphia,2024-08-28,,,Todd Adams,1,0.810958904109589,0.0,1.810958904109589
1327,Terrorism,Roy,Terrorism Case - Roy,2022-03-26,Closed,Portland,2023-07-27,,,Richard Abbott,1,0.8315068493150685,0.0,1.8315068493150686
1725,Terrorism,Timothy,Terrorism Case - Timothy,2023-03-10,Closed,Milwaukee,2024-08-08,2025-01-12,,Andrew Dawson,1,0.35342465753424657,0.5,1.8534246575342466
1986,Terrorism,Mary,Terrorism Case - Mary,2022-03-07,Closed,Las Vegas,2022-11-24,,,Sarah Wyatt,1,0.8575342465753425,0.0,1.8575342465753426
282,Terrorism,Ian,Terrorism Case - Ian,2022-02-26,Closed,Washington,2022-06-18,,,Jeremy Smith,1,0.8698630136986302,0.0,1.8698630136986303
1895,Terrorism,Dennis,Terrorism Case - Dennis,2022-02-19,Closed,Dallas,2023-03-07,,,Diana Mullen,1,0.8794520547945206,0.0,1.8794520547945206
