Case ID,Case Type,Parties Involved,Case Title,Filing Date,Case Status,Case Location,Hearing 1 date,Hearing 2 date,Hearing 3 date,Assigned Judge,Case Type Priority,Case Age,Scheduled Hearings,Overall Priority,Predicted Priority
1764,Terrorism,Vincent,Terrorism Case - Vincent,26.11.21,Pending,San Francisco,02.05.22,23.03.23,08.08.23,Eric Roberts,1,3,1.0,5.0,4.999999999999993
1371,Terrorism,Tara,Terrorism Case - Tara,26.11.21,Pending,Charlotte,22.03.23,25.02.24,22.03.24,Lauren Collins,1,3,1.0,5.0,4.999999999999993
1689,Cyber Crime,Christopher,Cyber Crime Case - Christopher,24.11.21,Pending,Jacksonville,25.11.22,25.07.23,10.12.23,Cameron Fields,3,1,1.0,5.0,4.9999999999999964
1210,Terrorism,Brandon,Terrorism Case - Brandon,27.11.21,Pending,Washington,30.07.23,27.12.23,20.01.24,Lisa Bray,1,4,1.0,6.0,5.999999999999993
1352,Terrorism,Steven,Terrorism Case - Steven,30.11.21,Pending,Los Angeles,06.01.24,,,Robin Watson,1,7,0.0,8.0,7.999999999999989
205,Counterintelligence,Robyn,Counterintelligence Case - Robyn,28.11.21,Pending,San Diego,28.09.24,11.03.25,02.05.25,Rebecca Conley,2,5,1.0,8.0,7.999999999999992
1040,Violent Crimes,Andrew,Violent Crimes Case - Andrew,23.11.21,Pending,Dallas,27.10.24,24.07.25,,Mrs. Cynthia Garcia,8,0,0.5,8.5,8.5
2517,Terrorism,Annette,Terrorism Case - Annette,30.11.21,Pending,Denver,23.04.24,07.02.25,14.03.25,Christopher Becker,1,7,1.0,9.0,8.99999999999999
2459,Civil Rights,Justin,Civil Rights Case - Justin,26.11.21,Pending,Philadelphia,08.10.23,02.06.24,06.10.24,Laura Stephens,5,3,1.0,9.0,8.999999999999995
1919,Civil Rights,Brian,Civil Rights Case - Brian,26.11.21,Pending,Oklahoma City,08.02.24,06.11.24,25.02.25,Karla Moore,5,3,1.0,9.0,8.999999999999995
464,Organized Crime,Stacey,Organized Crime Case - Stacey,26.11.21,Pending,Oklahoma City,02.01.24,,,Casey Martinez,6,3,0.0,9.0,8.999999999999996
75,Civil Rights,Kevin,Civil Rights Case - Kevin,27.11.21,Pending,Dallas,07.02.22,18.02.22,,Kerry Jordan,5,4,0.5,9.5,9.499999999999993
1471,Public Corruption,Sarah,Public Corruption Case - Sarah,28.11.21,Pending,Oklahoma City,12.09.24,31.03.25,23.09.25,Andrea Pearson,4,5,1.0,10.0,9.999999999999993
1273,Major Thefts,Haley,Major Thefts Case - Haley,24.11.21,Pending,Washington,24.04.24,30.05.24,,Jennifer Sanchez,9,1,0.5,10.5,10.499999999999998
496,White-Collar Crime,Christian,White-Collar Crime Case - Christian,26.11.21,Pending,Los Angeles,02.08.22,17.08.22,30.12.22,Adam Patterson,7,3,1.0,11.0,10.999999999999996
1424,Major Thefts,Jade,Major Thefts Case - Jade,25.11.21,Pending,Austin,13.09.24,12.02.25,,Dr. Denise Flores,9,2,0.5,11.5,11.499999999999998
1853,Cyber Crime,Katherine,Cyber Crime Case - Katherine,01.12.21,Pending,Baltimore,22.09.22,02.11.22,25.02.23,Amanda Oconnor,3,8,1.0,12.0,11.99999999999999
2902,White-Collar Crime,Jeffrey,White-Collar Crime Case - Jeffrey,28.11.21,Pending,Detroit,29.11.22,,,Melinda Fields,7,5,0.0,12.0,11.999999999999995
1827,Intellectual Property Violations,Jason,Intellectual Property Violations Case - Jason,25.11.21,Pending,San Diego,29.01.22,,,Mark Miller,10,2,0.0,12.0,11.999999999999998
2915,Counterintelligence,Jordan,Counterintelligence Case - Jordan,03.12.21,Pending,Milwaukee,10.01.23,14.07.23,,Jamie Marsh,2,10,0.5,12.5,12.499999999999986
