Case ID,Case Type,Parties Involved,Case Title,Filing Date,Case Status,Case Location,Hearing 1 date,Hearing 2 date,Hearing 3 date,Assigned Judge
1,Organized Crime,Jessica,Organized Crime Case - Jessica,2.9.22,Closed,Phoenix,28.8.24,13.10.24,,Cory Martinez
2,Major Thefts,Dawn,Major Thefts Case - Dawn,7.2.22,Closed,Philadelphia,13.2.24,20.11.24,5.12.24,Shirley Martin
3,Drug Trafficking,Megan,Drug Trafficking Case - Megan,17.1.23,Closed,New York,11.1.24,8.3.24,22.7.24,Mary Adams
4,White-Collar Crime,Becky,White-Collar Crime Case - Becky,19.3.23,Closed,Las Vegas,13.11.24,11.5.25,4.10.25,Keith Stevenson III
5,Terrorism,Rick,Terrorism Case - Rick,2.2.23,Closed,Milwaukee,20.10.24,2.3.25,7.7.25,Brittany Mahoney
6,Drug Trafficking,Jackie,Drug Trafficking Case - Jackie,12.1.22,Closed,Seattle,20.3.22,29.12.22,25.1.23,Robert Shepard
7,White-Collar Crime,Jennifer,White-Collar Crime Case - Jennifer,17.4.22,Closed,San Diego,8.10.22,,,David Jenkins
8,Violent Crimes,William,Violent Crimes Case - William,8.1.23,Closed,Jacksonville,4.10.23,23.3.24,24.5.24,Bridget Gonzalez
9,Employment Law Disputes,Timothy,Employment Law Disputes Case - Timothy,9.11.22,Closed,Oklahoma City,19.4.23,25.10.23,,Brian Flores
10,Organized Crime,Michelle,Organized Crime Case - Michelle,26.11.21,Closed,Chicago,5.12.22,6.12.22,,Bridget Gonzalez
11,Organized Crime,Jesse,Organized Crime Case - Jesse,22.12.21,Closed,Washington,2.10.22,25.1.23,1.4.23,Brenda House
12,Violent Crimes,Kimberly,Violent Crimes Case - Kimberly,25.4.23,Closed,Las Vegas,11.12.23,,,Mr. Jason Gross
13,Organized Crime,Dawn,Organized Crime Case - Dawn,5.1.23,Closed,San Antonio,3.1.24,21.11.24,,Mr. Jeremy Mack
14,Environmental Law Violations,Tonya,Environmental Law Violations Case - Tonya,12.4.22,Closed,Austin,21.4.24,,,Ricky Keller
