Case ID,Case Type,Parties Involved,Case Title,Filing Date,Case Status,Case Location,Hearing 1 date,Hearing 2 date,Hearing 3 date,Assigned Judge
1,Securities Fraud,Colin,Securities Fraud Case - Colin,8.12.22,Pending,Charlotte,13.4.23,26.12.23,,Darlene Guerrero
2,Organized Crime,Elizabeth,Organized Crime Case - Elizabeth,9.3.23,Pending,Columbus,10.9.23,8.12.23,28.3.24,Melissa Murray
3,Immigration Law Cases,Matthew,Immigration Law Cases Case - Matthew,7.5.23,Pending,Charlotte,6.9.24,8.9.24,8.9.24,Sarah Jones
4,Public Corruption,Joel,Public Corruption Case - Joel,5.10.23,Pending,Nashville,22.7.24,17.5.25,26.6.25,Cameron Peterson
5,Civil Rights,Michelle,Civil Rights Case - Michelle,2.2.23,Pending,Detroit,21.7.24,30.10.24,31.10.24,Katherine Hancock
6,Organized Crime,Terrance,Organized Crime Case - Terrance,30.9.23,Pending,Denver,17.3.24,21.5.24,15.11.24,Kevin Wood
7,Counterintelligence,Suzanne,Counterintelligence Case - Suzanne,1.6.22,Pending,Fort Worth,22.12.22,,,Mary Walters
8,White-Collar Crime,Anna,White-Collar Crime Case - Anna,21.2.22,Pending,Charlotte,2.3.22,20.3.22,7.6.22,Vanessa King
9,Terrorism,Peter,Terrorism Case - Peter,28.2.23,Pending,Austin,16.11.24,15.8.25,22.11.25,Shane Yang
10,Securities Fraud,Jerry,Securities Fraud Case - Jerry,19.2.22,Pending,Chicago,12.1.23,14.1.23,3.6.23,Jeremy Burnett
11,Civil Rights,Stephen,Civil Rights Case - Stephen,29.7.23,Pending,Milwaukee,22.10.23,31.1.24,31.3.24,Joy Cole
12,Employment Law Disputes,William,Employment Law Disputes Case - William,24.7.23,Pending,Memphis,11.3.24,17.8.24,20.8.24,Rachel Russell
13,Civil Rights,Nancy,Civil Rights Case - Nancy,5.4.22,Pending,Dallas,21.11.22,10.7.23,,Zachary Hendrix
14,Immigration Law Cases,Megan,Immigration Law Cases Case - Megan,10.10.23,Pending,Detroit,25.12.23,,,Mary Cannon
15,Counterintelligence,Danielle,Counterintelligence Case - Danielle,25.4.23,Pending,Fort Worth,28.4.23,,,Kerry Jordan
16,Securities Fraud,Rachel,Securities Fraud Case - Rachel,7.2.23,Pending,San Diego,3.6.24,17.9.24,8.11.24,Jason Gross
17,Drug Trafficking,Veronica,Drug Trafficking Case - Veronica,5.4.23,Pending,Fort Worth,2.11.24,8.9.25,12.1.26,Isaac Romero
18,Drug Trafficking,Tom,Drug Trafficking Case - Tom,20.12.21,Pending,Jacksonville,16.3.22,,,Scott Bernard
19,Organized Crime,Emily,Organized Crime Case - Emily,29.12.22,Pending,Washington,27.7.23,2.4.24,24.5.24,Denise Williams
20,Environmental Law Violations,Victor,Environmental Law Violations Case - Victor,15.7.22,Pending,Dallas,9.2.23,13.4.23,3.10.23,Philip Carpenter
21,Securities Fraud,Jeffrey,Securities Fraud Case - Jeffrey,25.10.22,Pending,Chicago,30.6.24,11.10.24,12.1.25,Tammy Mendoza
22,Environmental Law Violations,Amy,Environmental Law Violations Case - Amy,21.1.23,Pending,Charlotte,25.5.23,25.2.24,,Patricia Arias
23,Securities Fraud,Courtney,Securities Fraud Case - Courtney,8.3.22,Pending,Dallas,12.4.24,6.4.25,6.4.25,Michael Gomez
24,Drug Trafficking,Maria,Drug Trafficking Case - Maria,28.12.22,Pending,Detroit,16.8.24,,,Amanda Jones
25,Environmental Law Violations,Mark,Environmental Law Violations Case - Mark,22.1.22,Pending,Baltimore,6.12.22,15.6.23,1.12.23,Laura Stephens
26,Immigration Law Cases,Crystal,Immigration Law Cases Case - Crystal,7.1.23,Pending,San Diego,24.5.23,16.5.24,13.9.24,David Green
27,Intellectual Property Violations,Jason,Intellectual Property Violations Case - Jason,26.6.22,Pending,Philadelphia,24.6.24,14.8.24,25.10.24,Daniel Byrd
28,Intellectual Property Violations,Darin,Intellectual Property Violations Case - Darin,31.7.22,Pending,Phoenix,3.5.24,18.6.24,23.9.24,Stephanie Waters
29,Public Corruption,Taylor,Public Corruption Case - Taylor,12.11.23,Pending,Dallas,8.4.24,,,Jacqueline Cook DDS
30,White-Collar Crime,Alicia,White-Collar Crime Case - Alicia,4.12.22,Pending,Philadelphia,24.10.24,,,Vanessa Pittman
31,Violent Crimes,Samantha,Violent Crimes Case - Samantha,15.10.23,Pending,Charlotte,25.4.24,19.5.24,17.9.24,Eric Roberts
32,Cyber Crime,Lisa,Cyber Crime Case - Lisa,10.9.23,Pending,Boston,8.3.24,,,Lauren Collins
33,Violent Crimes,Jacob,Violent Crimes Case - Jacob,17.6.23,Pending,Boston,20.7.23,28.6.24,25.10.24,George Burke
34,Civil Rights,Elizabeth,Civil Rights Case - Elizabeth,27.5.22,Pending,Austin,23.10.23,23.9.24,8.2.25,Henry Keith
35,Immigration Law Cases,Megan,Immigration Law Cases Case - Megan,11.8.22,Pending,Fort Worth,6.1.24,22.11.24,17.3.25,Daniel Vance
36,Intellectual Property Violations,Thomas,Intellectual Property Violations Case - Thomas,12.8.22,Pending,Louisville,17.11.23,6.6.24,2.8.24,Robin Watson
37,Securities Fraud,Benjamin,Securities Fraud Case - Benjamin,26.6.22,Pending,Indianapolis,9.7.23,26.3.24,,Isaac Romero
38,Immigration Law Cases,Jacob,Immigration Law Cases Case - Jacob,10.1.22,Pending,Washington,13.6.22,,,Jamie Miller
39,Counterintelligence,David,Counterintelligence Case - David,30.12.22,Pending,Seattle,17.8.24,11.9.24,9.10.24,Frank Huerta
40,Employment Law Disputes,Dale,Employment Law Disputes Case - Dale,20.12.22,Pending,Denver,17.2.23,2.12.23,13.2.24,Victoria Wilson
41,White-Collar Crime,Robert,White-Collar Crime Case - Robert,13.4.23,Pending,Dallas,24.8.24,2.7.25,11.11.25,Andrea Pearson
42,Securities Fraud,Zachary,Securities Fraud Case - Zachary,12.2.23,Pending,Milwaukee,10.10.24,26.10.24,21.4.25,Tammy Mendoza
43,Terrorism,Marvin,Terrorism Case - Marvin,17.2.23,Pending,Indianapolis,31.3.23,4.10.23,,Melanie Fischer
44,Immigration Law Cases,Abigail,Immigration Law Cases Case - Abigail,10.11.22,Pending,Portland,30.5.24,29.9.24,13.11.24,Mr. Alexander Horton
45,Counterintelligence,James,Counterintelligence Case - James,4.3.22,Pending,Louisville,6.5.24,28.3.25,30.5.25,Jessica Livingston
46,Immigration Law Cases,Christopher,Immigration Law Cases Case - Christopher,15.4.22,Pending,Nashville,4.1.24,10.11.24,29.4.25,Frank Huerta
47,White-Collar Crime,Leslie,White-Collar Crime Case - Leslie,27.2.23,Pending,Columbus,20.9.23,11.9.24,22.2.25,Joy Cole
48,Drug Trafficking,Edward,Drug Trafficking Case - Edward,27.4.22,Pending,San Francisco,4.8.24,2.2.25,18.5.25,Kelsey Lopez
49,Securities Fraud,Bruce,Securities Fraud Case - Bruce,16.4.23,Pending,Fort Worth,1.7.24,,,George Burke
50,Drug Trafficking,Lee,Drug Trafficking Case - Lee,22.5.22,Pending,Memphis,19.6.23,28.8.23,,Malik Sherman
51,Drug Trafficking,Ray,Drug Trafficking Case - Ray,8.1.23,Pending,Jacksonville,16.12.23,,,Andrew Salazar
52,Immigration Law Cases,Jason,Immigration Law Cases Case - Jason,29.5.22,Pending,Austin,19.6.23,13.10.23,13.1.24,Samantha Kelly
53,White-Collar Crime,Jessica,White-Collar Crime Case - Jessica,25.1.23,Pending,Milwaukee,12.5.24,7.6.24,23.10.24,Zachary Hines
54,Organized Crime,Sherry,Organized Crime Case - Sherry,27.3.23,Pending,Fort Worth,4.1.24,,,Greg Dixon
55,Major Thefts,Samuel,Major Thefts Case - Samuel,19.7.23,Pending,Louisville,18.5.24,8.4.25,15.9.25,Michael Allen
56,Intellectual Property Violations,Douglas,Intellectual Property Violations Case - Douglas,20.9.23,Pending,New York,1.1.24,10.8.24,7.2.25,Janet Daniels
57,Environmental Law Violations,Stacy,Environmental Law Violations Case - Stacy,2.9.23,Pending,Los Angeles,19.3.24,29.12.24,28.2.25,Laura Stephens
58,White-Collar Crime,Dawn,White-Collar Crime Case - Dawn,31.10.22,Pending,Denver,18.7.23,1.10.23,14.11.23,Brian Flores
59,Immigration Law Cases,Jason,Immigration Law Cases Case - Jason,26.7.22,Pending,Seattle,22.9.24,,,Elizabeth Carson
60,White-Collar Crime,Aaron,White-Collar Crime Case - Aaron,5.4.22,Pending,Detroit,30.4.24,,,David Turner
61,Environmental Law Violations,John,Environmental Law Violations Case - John,22.4.23,Pending,Austin,30.7.23,13.4.24,,Carrie Miller
62,Immigration Law Cases,Mary,Immigration Law Cases Case - Mary,28.3.22,Pending,San Jose,9.8.23,,,Marcus Brown
63,Terrorism,Michael,Terrorism Case - Michael,5.5.22,Pending,Baltimore,31.7.24,14.5.25,,Jamie Miller
64,Major Thefts,Emily,Major Thefts Case - Emily,18.10.23,Pending,Louisville,31.5.24,28.9.24,4.2.25,Amanda Payne
65,Counterintelligence,Janice,Counterintelligence Case - Janice,18.12.22,Pending,Columbus,6.1.23,14.4.23,3.10.23,Rebecca Phillips
66,Employment Law Disputes,Alexandra,Employment Law Disputes Case - Alexandra,11.12.21,Pending,Indianapolis,10.7.23,10.2.24,,Brianna Mclaughlin
67,Intellectual Property Violations,Katherine,Intellectual Property Violations Case - Katherine,10.1.22,Pending,San Jose,18.10.24,,,Alexander Allen
68,Civil Rights,Brooke,Civil Rights Case - Brooke,6.11.23,Pending,Fort Worth,28.3.24,27.9.24,6.2.25,Ronald Bright
69,Intellectual Property Violations,Brianna,Intellectual Property Violations Case - Brianna,30.6.22,Pending,San Francisco,17.3.23,19.2.24,,Mrs. Cynthia Garcia
70,Intellectual Property Violations,Tony,Intellectual Property Violations Case - Tony,5.6.22,Pending,Dallas,8.2.23,,,Grace Frazier
71,Employment Law Disputes,Alexander,Employment Law Disputes Case - Alexander,9.5.22,Pending,Detroit,8.10.23,,,Nathan Chandler
72,Employment Law Disputes,Jacob,Employment Law Disputes Case - Jacob,20.3.23,Pending,Dallas,2.9.23,2.3.24,29.7.24,Ricardo Suarez
73,White-Collar Crime,Brittany,White-Collar Crime Case - Brittany,14.9.23,Pending,Memphis,9.3.24,24.6.24,8.7.24,Martin Hale
74,White-Collar Crime,Christopher,White-Collar Crime Case - Christopher,26.9.23,Pending,Indianapolis,13.5.24,20.2.25,19.3.25,Kelsey Richardson
75,Civil Rights,Kevin,Civil Rights Case - Kevin,27.11.21,Pending,Dallas,7.2.22,18.2.22,,Kerry Jordan
76,Employment Law Disputes,Darryl,Employment Law Disputes Case - Darryl,11.6.23,Pending,Milwaukee,9.11.24,3.1.25,17.6.25,Blake Diaz
77,Employment Law Disputes,Caitlin,Employment Law Disputes Case - Caitlin,29.8.22,Pending,Detroit,22.10.23,16.12.23,4.4.24,Jeffrey Miles
78,Public Corruption,Eric,Public Corruption Case - Eric,7.3.22,Pending,Chicago,21.3.22,25.8.22,,Daniel Sanders
79,Environmental Law Violations,Glenn,Environmental Law Violations Case - Glenn,7.7.23,Pending,Las Vegas,20.7.23,13.7.24,,Katherine Phillips
80,Intellectual Property Violations,Carrie,Intellectual Property Violations Case - Carrie,25.1.23,Pending,Detroit,21.10.24,24.8.25,,Carrie Miller
81,Organized Crime,Michelle,Organized Crime Case - Michelle,3.3.22,Pending,San Francisco,6.7.22,17.7.22,28.10.22,Elizabeth Carson
82,Violent Crimes,Wesley,Violent Crimes Case - Wesley,3.2.23,Pending,Seattle,14.3.24,,,Michael Ryan
